CompNo.,MW,logP,HBA,HBD,Ro BD,Structure Type,Smiles
2137,433.51,2.79,7,2,5,MOL,Cc1ccc(C(=O)NC2CC2)cc1-c1cc2cnc(NC3CCOCC3)nc2n(C)c1=O
1225,435.51,3.55,8,3,6,MOL,CCNC(=O)c1cn2ncnc(Nc3cc(C(=O)Nc4nccs4)ccc3C)c2c1C
1197,446.46,4.14,5,1,4,MOL,Cc1ccc(C(=O)NC2CC2)cc1-c1cc2cnnc(-c3ccc(F)cc3F)c2n(C)c1=O
2163,382.46,4.36,5,1,5,MOL,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(=O)C3CC3)c2)n1C
1443,359.43,4.83,4,2,3,MOL,O=C1Nc2cc(-c3cccc4c(NC5CC5)noc34)ccc2C12CCCC2
2138,388.44,5.73,3,2,4,MOL,O=C(Nc1cc(Nc2ccc3c(c2)CCCCC3=O)ccc1F)c1ccccc1
761,448.73,5.9,3,1,3,MOL,COc1cc(-c2ccccc2Cl)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)C(O)C2
269,459.48,4.59,8,1,5,MOL,Fc1ccc(-c2ncn(C3CCNCC3)c2-c2ccnc(Oc3ccc4c(c3)OCO4)n2)cc1
209,374.51,5.56,4,2,5,MOL,CCCOC(=O)c1sc(C(C)(C)C)cc1NC(=O)Nc1ccc(C)cc1
66,420.3,6.04,3,1,3,MOL,O=C1NCc2nc(Sc3ccccc3F)ccc2N1c1c(Cl)cccc1Cl
1846,499.46,3.05,6,4,5,MOL,COc1c(NC(=O)N[C@@H]2Cc3c(F)cccc3[C@@H]2O)cc(N2CCOCC2)cc1[C@@H](O)C(F)(F)F
1873,312.34,1.64,7,3,4,MOL,CCNC(=O)Nc1ccc2ncc(Nc3ccn(C)n3)nc2n1
1805,322.37,3.22,5,3,4,MOL,CCNC(=O)Nc1ccc2ncc(Nc3cccc(C)c3)nc2n1
1964,724.83,7.71,11,4,12,MOL,CC(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc(Nc4ccc5[nH]ncc5c4)n3)c3ccccc23)n(-c2ccc(OCCN3CCOCC3)cc2)n1
1987,853,7.08,15,3,14,MOL,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc(Nc4ccc5c(cnn5CCN5CCOCC5)c4)n3)c3ccccc23)n(-c2ccc(OCCN3CCOCC3)nc2)n1
1998,575.6,5.1,7,2,10,MOL,CC(C)C[C@H](NCCc1cc(F)c(-n2c(N)c(C(=O)c3ccc(F)cc3F)ccc2=O)c(F)c1)C(=O)OC(C)(C)C
1928,627.71,8.33,9,3,7,MOL,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc(Nc4ccc5c(c4)OCO5)n3)c3ccccc23)cc1
1801,502.62,3.33,6,4,10,MOL,NC(=O)[C@H](CCC1CCCCC1)NC(=O)c1ccc(CNC(=O)c2cnn(-c3ccccc3)c2N)cc1
1923,658.17,9.13,8,4,7,MOL,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc(Nc4cc(Cl)c5[nH]ncc5c4)n3)c3ccccc23)cc1
1968,752.88,8.19,11,4,11,MOL,Cc1cc(Nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccc(OCCN5CCOCC5)cc4)c4ccccc34)n2)cc2cn[nH]c12
1901,624.71,7.87,9,4,7,MOL,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc(Nc4cnc5[nH]ncc5c4)n3)c3ccccc23)cc1
2056,503.53,5.45,5,3,5,MOL,NC(=O)c1ccc2c(c1)C(=O)c1ccc(Nc3cc(NC(=O)c4cccs4)c(F)cc3F)cc1CC2
2120,437.48,5.47,5,1,4,MOL,Cc1ccc(C(=O)Nc2cc(-c3c(-c4ccc(F)c(C)c4)nc4cccnn34)ccn2)cc1
2115,423.45,5.16,5,1,4,MOL,Cc1cc(-c2nc3cccnn3c2-c2ccnc(NC(=O)c3ccccc3)c2)ccc1F
2184,459.59,4.47,5,3,9,MOL,Nc1c(C(=O)NCc2ccc(C(=O)NCCCC3CCCCC3)cc2)cnn1-c1ccccc1
2150,436.43,5.28,4,2,5,MOL,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(=O)C3(C(F)(F)F)CC3)c2)[nH]1
2133,358.41,3.23,6,2,4,MOL,CNC(=O)c1ccc(C)c(Nc2nncc3c2cnn3-c2ccccc2)c1
858,415.42,4.83,4,1,5,MOL,Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2c(O[C@@H](C)C(F)(F)F)nncc2c1
978,469.88,4.29,6,2,5,MOL,Cn1c(=O)cc(Nc2cc(C(=O)NC3CC3)ccc2Cl)c2cnn(-c3ccc(F)cc3F)c21
