,R2,Q2,Label,,R2,Q2,label
1,0.003,3.00E-05,Fake,51,0.89078,0.67976,Real
2,0.00249,0.00231,Fake,52,0.89078,0.67976,Real
3,0.00097,0.00143,Fake,53,0.89078,0.67976,Real
4,4.00E-05,0.0016,Fake,54,0.89078,0.67976,Real
5,0.00068,4.00E-05,Fake,55,0.89078,0.67976,Real
6,0.00134,0.00122,Fake,56,0.89078,0.67976,Real
7,0.00023,0.00038,Fake,57,0.89078,0.67976,Real
8,0.00489,7.00E-04,Fake,58,0.89078,0.67976,Real
9,0.00191,8.00E-04,Fake,59,0.89078,0.67976,Real
10,0.00143,3.00E-05,Fake,60,0.89078,0.67976,Real
11,9.00E-05,0.00337,Fake,61,0.89078,0.67976,Real
12,4.00E-05,9.00E-04,Fake,62,0.89078,0.67976,Real
13,0.00022,0,Fake,63,0.89078,0.67976,Real
14,0.0056,0.00042,Fake,64,0.89078,0.67976,Real
15,4.00E-05,0.00045,Fake,65,0.89078,0.67976,Real
16,0.00233,0.00095,Fake,66,0.89078,0.67976,Real
17,0.00123,7.00E-05,Fake,67,0.89078,0.67976,Real
18,0.00022,0.00012,Fake,68,0.89078,0.67976,Real
19,0.00214,0.00033,Fake,69,0.89078,0.67976,Real
20,0.00252,5.00E-05,Fake,70,0.89078,0.67976,Real
21,0.00193,2.00E-05,Fake,71,0.89078,0.67976,Real
22,0.00032,0.00063,Fake,72,0.89078,0.67976,Real
23,2.00E-04,1.00E-05,Fake,73,0.89078,0.67976,Real
24,5.00E-05,0.00309,Fake,74,0.89078,0.67976,Real
25,3.00E-05,1.00E-05,Fake,75,0.89078,0.67976,Real
26,0.00019,2.00E-05,Fake,76,0.89078,0.67976,Real
27,0.00018,0.00103,Fake,77,0.89078,0.67976,Real
28,0.00178,0.0029,Fake,78,0.89078,0.67976,Real
29,0.00284,1.00E-05,Fake,79,0.89078,0.67976,Real
30,0.00349,5.00E-05,Fake,80,0.89078,0.67976,Real
31,0.0033,6.00E-05,Fake,81,0.89078,0.67976,Real
32,0,9.00E-05,Fake,82,0.89078,0.67976,Real
33,0.00016,1.00E-05,Fake,83,0.89078,0.67976,Real
34,0.00062,5.00E-05,Fake,84,0.89078,0.67976,Real
35,0,7.00E-05,Fake,85,0.89078,0.67976,Real
36,0.00088,4.00E-04,Fake,86,0.89078,0.67976,Real
37,0.00042,0.00017,Fake,87,0.89078,0.67976,Real
38,0.00504,4.00E-05,Fake,88,0.89078,0.67976,Real
39,0.00024,0.00025,Fake,89,0.89078,0.67976,Real
40,0.00176,0.00256,Fake,90,0.89078,0.67976,Real
41,0.00204,2.00E-05,Fake,91,0.89078,0.67976,Real
42,0.00048,0.00059,Fake,92,0.89078,0.67976,Real
43,0.00188,0.00081,Fake,93,0.89078,0.67976,Real
44,0.00103,0.00045,Fake,94,0.89078,0.67976,Real
45,0.00475,0.00131,Fake,95,0.89078,0.67976,Real
46,2.00E-05,0.00101,Fake,96,0.89078,0.67976,Real
47,0.00078,3.00E-04,Fake,97,0.89078,0.67976,Real
48,0.00057,0.00182,Fake,98,0.89078,0.67976,Real
49,0.00404,1.00E-05,Fake,99,0.89078,0.67976,Real
50,2.00E-05,0.00161,Fake,100,0.89078,0.67976,Real
