,R2,Q2,Label,,,R2,Q2,Label
1,5.00E-05,0.00109,Fake,,51,0.94004,0.74042,Real
2,0.00025,0.00044,Fake,,52,0.94004,0.74042,Real
3,0.00023,0.00149,Fake,,53,0.94004,0.74042,Real
4,0.00159,0.008,Fake,,54,0.94004,0.74042,Real
5,0.00108,0.00204,Fake,,55,0.94004,0.74042,Real
6,0.00019,0.0013,Fake,,56,0.94004,0.74042,Real
7,3.00E-05,1.00E-05,Fake,,57,0.94004,0.74042,Real
8,0.00111,2.00E-05,Fake,,58,0.94004,0.74042,Real
9,0.00717,7.00E-05,Fake,,59,0.94004,0.74042,Real
10,0.0014,0.00085,Fake,,60,0.94004,0.74042,Real
11,3.00E-04,0.00039,Fake,,61,0.94004,0.74042,Real
12,0.00011,0.00044,Fake,,62,0.94004,0.74042,Real
13,0.00092,4.00E-05,Fake,,63,0.94004,0.74042,Real
14,0.00156,0.00027,Fake,,64,0.94004,0.74042,Real
15,0.00191,2.00E-04,Fake,,65,0.94004,0.74042,Real
16,0.0035,0.00188,Fake,,66,0.94004,0.74042,Real
17,0.00135,0.00587,Fake,,67,0.94004,0.74042,Real
18,7.00E-04,0.00079,Fake,,68,0.94004,0.74042,Real
19,0.00057,0,Fake,,69,0.94004,0.74042,Real
20,6.00E-04,0.00057,Fake,,70,0.94004,0.74042,Real
21,0.00116,0.00029,Fake,,71,0.94004,0.74042,Real
22,0.00127,2.00E-05,Fake,,72,0.94004,0.74042,Real
23,0.00259,3.00E-04,Fake,,73,0.94004,0.74042,Real
24,0.00013,4.00E-04,Fake,,74,0.94004,0.74042,Real
25,0.00028,0.00296,Fake,,75,0.94004,0.74042,Real
26,0.00161,0.0028,Fake,,76,0.94004,0.74042,Real
27,0.00013,4.00E-05,Fake,,77,0.94004,0.74042,Real
28,0.00115,0.00071,Fake,,78,0.94004,0.74042,Real
29,6.00E-05,0.00066,Fake,,79,0.94004,0.74042,Real
30,0.0014,8.00E-05,Fake,,80,0.94004,0.74042,Real
31,0.00015,3.00E-05,Fake,,81,0.94004,0.74042,Real
32,0.00067,0.00315,Fake,,82,0.94004,0.74042,Real
33,0.00166,0.00018,Fake,,83,0.94004,0.74042,Real
34,5.00E-05,0.0034,Fake,,84,0.94004,0.74042,Real
35,0.00076,0.00137,Fake,,85,0.94004,0.74042,Real
36,0.00855,0.00111,Fake,,86,0.94004,0.74042,Real
37,0.00313,0.00049,Fake,,87,0.94004,0.74042,Real
38,0.00147,0.00075,Fake,,88,0.94004,0.74042,Real
39,0.00251,0.00028,Fake,,89,0.94004,0.74042,Real
40,0.0014,0.00215,Fake,,90,0.94004,0.74042,Real
41,0.00025,0.00083,Fake,,91,0.94004,0.74042,Real
42,0,2.00E-05,Fake,,92,0.94004,0.74042,Real
43,9.00E-04,0.00091,Fake,,93,0.94004,0.74042,Real
44,0.00025,0.00234,Fake,,94,0.94004,0.74042,Real
45,1.00E-05,0.00069,Fake,,95,0.94004,0.74042,Real
46,0.01061,0.00115,Fake,,96,0.94004,0.74042,Real
47,0.00021,0.00028,Fake,,97,0.94004,0.74042,Real
48,0.0018,0.00205,Fake,,98,0.94004,0.74042,Real
49,0,0.00084,Fake,,99,0.94004,0.74042,Real
50,0.00116,7.00E-05,Fake,,100,0.94004,0.74042,Real
