"","R2","Q2","Label"
"1",2e-04,7e-04,"Fake"
"2",0.00289,3e-04,"Fake"
"3",3e-04,1e-05,"Fake"
"4",0.00057,0.00324,"Fake"
"5",4e-05,0.00144,"Fake"
"6",5e-04,0.00029,"Fake"
"7",4e-04,0.00044,"Fake"
"8",0.00185,0.00051,"Fake"
"9",0.00213,0.00142,"Fake"
"10",0.00016,0.00085,"Fake"
"11",3e-05,0.00012,"Fake"
"12",0.00047,0.00163,"Fake"
"13",0.00817,2e-04,"Fake"
"14",4e-04,0,"Fake"
"15",0.00447,3e-05,"Fake"
"16",0.00315,0.00375,"Fake"
"17",5e-04,0.00061,"Fake"
"18",0.00017,0.00303,"Fake"
"19",0.00066,0.00042,"Fake"
"20",0.00017,0.00491,"Fake"
"21",0.00347,0.00076,"Fake"
"22",0.00085,0,"Fake"
"23",0.00279,0.00032,"Fake"
"24",0.00179,0.00022,"Fake"
"25",0.00103,0.00016,"Fake"
"26",0.00027,0.00031,"Fake"
"27",1e-05,0.0025,"Fake"
"28",0.00071,8e-05,"Fake"
"29",0.00031,5e-05,"Fake"
"30",0.00106,0.00513,"Fake"
"31",0.00101,3e-04,"Fake"
"32",0.00459,0.00046,"Fake"
"33",0.00185,0.00015,"Fake"
"34",0,0.00641,"Fake"
"35",0.00081,4e-04,"Fake"
"36",0.00042,0.00078,"Fake"
"37",0.00064,0.00311,"Fake"
"38",0.00252,0.00695,"Fake"
"39",1e-05,0.00372,"Fake"
"40",0.00059,1e-04,"Fake"
"41",0.00036,0.00031,"Fake"
"42",0.00155,0.00197,"Fake"
"43",3e-04,2e-05,"Fake"
"44",0.00219,0.00127,"Fake"
"45",0.00274,0.00059,"Fake"
"46",0.00117,0.00048,"Fake"
"47",9e-05,0,"Fake"
"48",0.00012,0.00452,"Fake"
"49",0.00377,0.00096,"Fake"
"50",0.00058,0.00026,"Fake"
"51",0.88315,0.70867,"Real"
"52",0.88315,0.70867,"Real"
"53",0.88315,0.70867,"Real"
"54",0.88315,0.70867,"Real"
"55",0.88315,0.70867,"Real"
"56",0.88315,0.70867,"Real"
"57",0.88315,0.70867,"Real"
"58",0.88315,0.70867,"Real"
"59",0.88315,0.70867,"Real"
"60",0.88315,0.70867,"Real"
"61",0.88315,0.70867,"Real"
"62",0.88315,0.70867,"Real"
"63",0.88315,0.70867,"Real"
"64",0.88315,0.70867,"Real"
"65",0.88315,0.70867,"Real"
"66",0.88315,0.70867,"Real"
"67",0.88315,0.70867,"Real"
"68",0.88315,0.70867,"Real"
"69",0.88315,0.70867,"Real"
"70",0.88315,0.70867,"Real"
"71",0.88315,0.70867,"Real"
"72",0.88315,0.70867,"Real"
"73",0.88315,0.70867,"Real"
"74",0.88315,0.70867,"Real"
"75",0.88315,0.70867,"Real"
"76",0.88315,0.70867,"Real"
"77",0.88315,0.70867,"Real"
"78",0.88315,0.70867,"Real"
"79",0.88315,0.70867,"Real"
"80",0.88315,0.70867,"Real"
"81",0.88315,0.70867,"Real"
"82",0.88315,0.70867,"Real"
"83",0.88315,0.70867,"Real"
"84",0.88315,0.70867,"Real"
"85",0.88315,0.70867,"Real"
"86",0.88315,0.70867,"Real"
"87",0.88315,0.70867,"Real"
"88",0.88315,0.70867,"Real"
"89",0.88315,0.70867,"Real"
"90",0.88315,0.70867,"Real"
"91",0.88315,0.70867,"Real"
"92",0.88315,0.70867,"Real"
"93",0.88315,0.70867,"Real"
"94",0.88315,0.70867,"Real"
"95",0.88315,0.70867,"Real"
"96",0.88315,0.70867,"Real"
"97",0.88315,0.70867,"Real"
"98",0.88315,0.70867,"Real"
"99",0.88315,0.70867,"Real"
"100",0.88315,0.70867,"Real"
