R2,Q2,Label,,,R_R2,R_Q2,Label
0.00398,0.00033,Fake,,51,0.8852,0.6794,Real
0.0011,0.00084,Fake,,52,0.8852,0.6794,Real
1.00E-05,0.00018,Fake,,53,0.8852,0.6794,Real
0.00126,2.00E-04,Fake,,54,0.8852,0.6794,Real
0.00054,0.0029,Fake,,55,0.8852,0.6794,Real
0.00173,0.00045,Fake,,56,0.8852,0.6794,Real
4.00E-04,0.00033,Fake,,57,0.8852,0.6794,Real
5.00E-05,0.00016,Fake,,58,0.8852,0.6794,Real
1.00E-05,0.00079,Fake,,59,0.8852,0.6794,Real
0.00279,0.00063,Fake,,60,0.8852,0.6794,Real
0.00093,0.00204,Fake,,61,0.8852,0.6794,Real
0.00598,0.00037,Fake,,62,0.8852,0.6794,Real
4.00E-05,0.00093,Fake,,63,0.8852,0.6794,Real
0.00054,2.00E-05,Fake,,64,0.8852,0.6794,Real
0.00028,0.0032,Fake,,65,0.8852,0.6794,Real
0.00018,9.00E-05,Fake,,66,0.8852,0.6794,Real
1.00E-05,0,Fake,,67,0.8852,0.6794,Real
0.00104,0.00033,Fake,,68,0.8852,0.6794,Real
0.00993,0.00177,Fake,,69,0.8852,0.6794,Real
0.00117,0.00778,Fake,,70,0.8852,0.6794,Real
0.00044,2.00E-05,Fake,,71,0.8852,0.6794,Real
0.00309,1.00E-05,Fake,,72,0.8852,0.6794,Real
0.00118,0,Fake,,73,0.8852,0.6794,Real
0.00046,0.00017,Fake,,74,0.8852,0.6794,Real
0.0011,0.0025,Fake,,75,0.8852,0.6794,Real
1.00E-05,9.00E-05,Fake,,76,0.8852,0.6794,Real
0.00056,0.00289,Fake,,77,0.8852,0.6794,Real
2.00E-05,0.00013,Fake,,78,0.8852,0.6794,Real
0.0011,1.00E-05,Fake,,79,0.8852,0.6794,Real
0.01654,0.00067,Fake,,80,0.8852,0.6794,Real
0.0036,0,Fake,,81,0.8852,0.6794,Real
3.00E-05,0.00078,Fake,,82,0.8852,0.6794,Real
0.00129,4.00E-04,Fake,,83,0.8852,0.6794,Real
0.00014,1.00E-05,Fake,,84,0.8852,0.6794,Real
0.00109,0.00063,Fake,,85,0.8852,0.6794,Real
0.0026,0.00054,Fake,,86,0.8852,0.6794,Real
0.00097,0.00064,Fake,,87,0.8852,0.6794,Real
0.00185,0.00065,Fake,,88,0.8852,0.6794,Real
0.00244,8.00E-05,Fake,,89,0.8852,0.6794,Real
5.00E-05,0.00161,Fake,,90,0.8852,0.6794,Real
0.00559,0.00137,Fake,,91,0.8852,0.6794,Real
0.01638,0.00064,Fake,,92,0.8852,0.6794,Real
0.00027,0.00035,Fake,,93,0.8852,0.6794,Real
0.00246,0.00041,Fake,,94,0.8852,0.6794,Real
0.00196,0.00294,Fake,,95,0.8852,0.6794,Real
2.00E-05,0.0011,Fake,,96,0.8852,0.6794,Real
0.00524,0.00048,Fake,,97,0.8852,0.6794,Real
0.00339,0.00098,Fake,,98,0.8852,0.6794,Real
7.00E-05,1.00E-05,Fake,,99,0.8852,0.6794,Real
0.00103,1.00E-05,Fake,,100,0.8852,0.6794,Real
